index,city_state,count_crimes,lat,lng,population
"117","Athens, OH",8,39.3269,-82.0988,29122
"118","Athens, TN",1,35.4573,-84.6045,16651
"119","Atherton, CA",1,37.4539,-122.2032,7137
"120","Atlanta, GA",54,33.7627,-84.4224,5449398
"121","Atlantic Beach, SC",1,33.8035,-78.7177,445
"122","Atlantic City, NJ",13,39.3797,-74.4527,237054
"123","Atlantic Highlands, NJ",2,40.4112,-74.0296,4351
"124","Atlantic, IA",1,41.3957,-95.0138,6526
"125","Atoka, OK",1,34.3857,-96.1313,3015
"126","Atoka, TN",18,35.4239,-89.7861,21428
"127","Attleboro, MA",8,41.9311,-71.295,45237
"128","Atwater, CA",3,37.3543,-120.5981,29559
"129","Aubrey, TX",1,33.2872,-96.9622,7806
"130","Auburn Hills, MI",10,42.6735,-83.2447,24748
"131","Auburn, CA",1,38.895,-121.0778,35311
"132","Auburn, ME",4,44.085,-70.2492,23414
"133","Auburn, NY",8,42.9338,-76.5684,30507
"134","Auburn, WA",35,47.3039,-122.2108,81464
"135","Audubon Park, KY",1,38.205,-85.727,1489
"136","Audubon, NJ",1,39.8906,-75.0722,8637
"137","Augusta, KY",1,38.7723,-84.0003,1148
"138","Augusta, ME",22,44.3341,-69.7319,22116
"139","Aurora, CO",68,39.7087,-104.7273,379289
"140","Aurora, IL",16,41.7637,-88.2901,197757
"141","Aurora, OH",5,41.3118,-81.345,16338
"142","Austin, TX",93,30.3004,-97.7522,1687311
"143","Austintown, OH",12,41.0932,-80.7405,28488
"144","Avalon, NJ",1,39.0906,-74.7357,1236
"145","Aventura, FL",1,25.9565,-80.1372,36987
"146","Avoca, PA",3,41.3381,-75.7423,2629
"147","Avondale, AZ",15,33.3858,-112.3236,227289
"148","Azusa, CA",23,34.1386,-117.9124,49974
"149","Bad Axe, MI",1,43.8036,-82.9981,3249
"150","Bainbridge Island, WA",4,47.6439,-122.5434,25298
"151","Baker City, OR",3,44.7749,-117.832,9809
"152","Bakersfield, CA",51,35.3529,-119.0359,579295
"153","Balch Springs, TX",2,32.7194,-96.6151,25007
"154","Bald Knob, AR",2,35.3123,-91.5709,2868
"155","Baldwin Park, CA",8,34.0829,-117.9721,75251
"156","Baltimore, MD",30,39.3051,-76.6144,2106068
"157","Baltimore, OH",1,39.846,-82.6047,3548
"158","Bangor, ME",7,44.8322,-68.7906,59772
"159","Bangor, MI",4,42.312,-86.1135,1833
"160","Banning, CA",4,33.946,-116.8992,31221
"161","Barberton, OH",18,41.0094,-81.6038,25953
"162","Barboursville, WV",3,38.4061,-82.297,4258
"163","Barbourville, KY",3,36.8667,-83.885,6036
"164","Bardstown, KY",15,37.8174,-85.4548,21184
"165","Barnstable, MA",30,41.6722,-70.3599,242847
"166","Barre, VT",2,44.1997,-72.5083,20421
"167","Barstow, CA",3,34.8661,-117.0472,30605
"168","Bartlett, IL",4,41.9803,-88.2069,40647
"169","Bartlett, TN",5,35.2337,-89.8195,59440
"170","Bartow, FL",1,27.8868,-81.8213,20147
"171","Basalt, CO",2,39.3663,-107.0414,9193
"172","Basehor, KS",1,39.1332,-94.9333,6496
"173","Batavia, IL",1,41.8479,-88.311,26420
"174","Batavia, NY",1,42.9987,-78.1802,16581
"175","Batesburg-Leesville, SC",2,33.9125,-81.5313,5415
"176","Bath, ME",1,43.9346,-69.8346,8338
"177","Baton Rouge, LA",3,30.4418,-91.131,570308
"178","Battle Creek, MI",23,42.2986,-85.2296,76514
"179","Battle Ground, WA",5,45.7765,-122.5413,21252
"180","Battlefield, MO",1,37.1194,-93.3683,6622
"181","Baxter Springs, KS",1,37.0196,-94.7351,4741
"182","Baxter, TN",3,36.1537,-85.6349,1531
"183","Bay City, MI",12,43.5903,-83.8886,66107
"184","Bay City, TX",1,28.9838,-95.9601,18661
"185","Bayonne, NJ",5,40.6661,-74.1141,64897
"186","Baytown, TX",2,29.7586,-94.9669,77192
"187","Beachwood, NJ",2,39.9286,-74.2023,11312
"188","Beardstown, IL",2,39.9994,-90.4178,5807
"189","Beaufort, SC",10,32.4597,-80.7235,53051
"190","Beaumont, CA",6,33.9076,-116.9766,51063
"191","Beaumont, TX",26,30.0849,-94.1451,146091
"192","Beaver Dam, KY",1,37.4042,-86.8742,6621
"193","Beaver Dam, WI",1,43.469,-88.8308,18041
"194","Beavercreek, OH",3,39.731,-84.0624,47741
"195","Beaverton, OR",31,45.4779,-122.8168,99037
"196","Beckley, WV",11,37.7878,-81.1841,57942
"197","Bedford, TX",21,32.8464,-97.135,49049
"198","Bedford, VA",6,37.336,-79.5179,7240
"199","Beecher, IL",2,41.3501,-87.6174,4427
"200","Bel Air, MD",3,39.5348,-76.346,10119
"201","Bel Aire, KS",2,37.7749,-97.2457,8300
"202","Belding, MI",1,43.0968,-85.2331,5771
"203","Belen, NM",2,34.7115,-106.7985,7416
"204","Belfast, ME",3,44.428,-69.0325,6679
"205","Belfield, ND",1,46.8859,-103.199,1012
"206","Bell Gardens, CA",4,33.9663,-118.155,42012
"207","Bell, CA",3,33.9801,-118.1798,35521
"208","Bellaire, TX",1,29.704,-95.4622,18971
"209","Bellbrook, OH",3,39.6384,-84.0863,7344
"210","Belle Fourche, SD",1,44.6642,-103.8564,5702
"211","Belle Plaine, MN",1,44.6188,-93.7643,7185
"212","Bellefontaine, OH",9,40.3627,-83.763,13249
"213","Belleville, IL",1,38.5165,-89.99,40897
"214","Belleville, KS",1,39.8245,-97.6337,1879
"215","Belleville, MI",4,42.2021,-83.4838,3896
"216","Bellevue, ID",1,43.4685,-114.2551,2456
"217","Bellevue, KY",7,39.1011,-84.4776,5721
"218","Bellevue, WA",70,47.5951,-122.1535,148164
"219","Bellflower, CA",7,33.888,-118.1271,76435
"220","Bellingham, WA",68,48.7543,-122.4687,130641
"221","Bellmead, TX",4,31.6025,-97.0896,10744
"222","Bellows Falls, VT",2,43.1344,-72.455,5381
"223","Bells, TN",1,35.7203,-89.0859,4772
"224","Bellwood, IL",2,41.8829,-87.8762,18672
